pis_score,ls2slct,ls3-mpss,ls4-lcs,ls5-uss,ls6-dc,ls1-totalEnglish,ls1-totalFilipino,flt-overall-score,level
9,4,4,5,6,4,8,4,44,JHS
10,9,12,7,9,10,9,10,76,SHS
9,4,4,5,6,4,8,4,44,JHS
10,11,12,10,9,9,14,13,88,SHS
9,6,8,6,8,6,8,9,60,JHS
10,12,14,10,9,10,14,14,93,SHS
10,12,13,10,10,10,15,13,93,SHS
10,12,14,10,9,10,14,14,93,SHS
10,11,13,10,10,9,15,13,91,SHS
9,4,4,5,6,4,8,4,44,JHS
9,7,8,6,10,5,8,9,62,JHS
9,4,4,5,6,4,8,4,44,JHS
10,13,14,10,10,10,15,14,96,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,5,8,10,9,3,6,9,60,JHS
9,4,4,5,6,4,8,4,44,JHS
10,10,10,10,10,10,14,14,88,SHS
10,10,12,10,10,10,13,13,88,SHS
9,4,4,5,6,4,8,4,44,JHS
10,8,7,8,10,5,9,10,67,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,12,13,10,10,10,13,12,90,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,10,14,10,8,8,10,10,80,SHS
10,8,7,8,9,8,9,9,68,SHS
9,4,4,5,6,4,8,4,44,JHS
10,4,11,8,9,7,8,8,65,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,10,12,10,10,10,15,14,91,SHS
10,7,7,7,7,7,10,9,64,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,13,14,10,10,10,15,14,96,SHS
9,4,4,5,6,4,8,4,44,JHS
10,12,14,10,9,10,15,13,93,SHS
10,11,14,9,9,9,14,13,89,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,11,14,9,10,8,14,14,90,SHS
9,4,4,5,6,4,8,4,44,JHS
10,7,8,7,6,5,10,9,62,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,4,3,4,5,6,6,9,47,JHS
9,4,4,5,6,4,8,4,44,JHS
10,7,8,5,7,6,8,9,60,JHS
10,12,14,10,9,10,15,15,95,SHS
9,4,4,5,6,4,8,4,44,JHS
10,13,14,10,10,10,15,14,96,SHS
10,12,14,10,10,10,15,14,95,SHS
9,4,4,5,6,4,8,4,44,JHS
10,9,13,7,7,8,9,10,73,SHS
10,13,15,10,10,10,14,14,96,SHS
9,4,4,5,6,4,8,4,44,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,10,9,8,10,7,9,9,71,SHS
10,8,9,8,10,7,9,7,68,SHS
9,9,8,9,9,8,9,9,70,SHS
9,9,8,9,9,8,9,9,70,SHS
9,9,7,10,10,6,9,4,64,JHS
9,10,9,8,10,7,9,9,71,SHS
9,9,7,10,10,6,9,4,64,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
10,6,5,8,8,3,9,7,56,JHS
9,9,8,9,9,8,9,9,70,SHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,8,9,8,10,7,9,7,67,SHS
9,6,5,8,8,3,9,7,55,JHS
9,8,9,8,10,7,9,7,67,SHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,10,9,8,10,7,9,9,71,SHS
9,9,7,10,10,6,9,4,64,JHS
9,9,8,9,9,8,9,9,70,SHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,9,8,9,9,8,9,9,70,SHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,9,7,10,10,6,9,4,64,JHS
10,8,9,8,10,7,9,7,68,SHS
10,9,7,10,10,6,9,4,65,SHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
10,6,5,8,8,3,9,7,56,JHS
9,9,8,9,9,8,9,9,70,SHS
10,8,9,8,10,7,9,7,68,SHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,9,8,9,9,8,9,9,70,SHS
9,9,7,10,10,6,9,4,64,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,8,9,9,8,9,9,70,SHS
9,9,8,9,9,8,9,9,70,SHS
9,8,9,8,10,7,9,7,67,SHS
9,8,9,8,10,7,9,7,67,SHS
9,7,8,6,7,6,8,9,60,JHS
10,7,10,5,8,5,9,9,63,JHS
9,6,8,6,8,6,8,9,60,JHS
8,8,12,8,10,8,8,9,71,SHS
10,8,13,7,9,8,9,10,74,SHS
9,7,8,6,10,5,8,9,62,JHS
9,8,9,7,9,6,8,9,65,SHS
9,8,11,7,10,6,9,9,69,SHS
10,8,11,6,7,5,8,8,63,JHS
10,7,10,5,8,5,9,9,63,JHS
10,7,10,5,8,5,9,9,63,JHS
9,7,8,9,10,7,11,9,70,SHS
9,8,10,9,10,5,8,9,68,SHS
9,3,4,3,5,3,7,6,40,JHS
10,8,10,7,9,6,10,8,68,SHS
10,7,10,5,8,5,9,9,63,JHS
10,7,10,5,8,5,9,9,63,JHS
10,7,10,5,8,5,9,9,63,JHS
9,7,10,6,9,6,8,8,63,JHS
10,13,13,10,10,10,13,13,92,SHS
9,7,8,6,8,5,8,10,61,JHS
10,7,8,9,9,9,9,11,72,SHS
10,8,9,6,9,6,8,9,65,SHS
10,7,8,8,10,5,9,9,66,SHS
10,7,8,6,9,5,12,10,67,SHS
9,8,10,6,5,5,10,9,62,JHS
10,8,8,9,10,8,10,12,75,SHS
9,8,10,6,5,5,10,9,62,JHS
10,7,8,6,9,7,8,7,62,JHS
9,8,8,8,9,5,7,9,63,JHS
8,7,8,9,10,5,8,9,64,JHS
10,8,11,7,9,8,8,9,70,SHS
9,8,9,9,10,6,6,9,66,SHS
9,7,8,6,8,5,8,9,60,JHS
10,8,11,6,7,5,8,8,63,JHS
10,7,8,5,7,6,8,9,60,JHS
10,8,11,6,7,5,8,8,63,JHS
10,12,9,8,9,9,8,8,73,SHS
9,7,8,6,6,6,8,9,59,JHS
9,7,8,7,8,7,11,11,68,SHS
9,10,12,10,10,5,8,10,74,SHS
9,7,8,6,8,5,8,9,60,JHS
10,8,11,9,10,8,7,10,73,SHS
10,3,6,4,3,5,6,8,45,JHS
10,10,14,10,10,8,12,15,89,SHS
10,11,15,10,10,10,14,15,95,SHS
10,8,12,9,8,10,12,13,82,SHS
10,7,11,8,9,5,13,13,76,SHS
10,10,15,10,10,9,15,15,94,SHS
10,8,14,9,9,9,13,14,86,SHS
10,5,13,9,10,8,13,15,83,SHS
10,5,7,8,6,5,11,15,67,SHS
10,10,15,7,10,6,15,15,88,SHS
10,7,12,7,10,7,14,11,78,SHS
